2025-12-5, 02:47:00.000000, 25716.75, 25719.25, 25715.00, 25718.50, 82, 75, 25717.38, 25717.58, 25717.13, 39, 43, 25684.53, 0.00
2025-12-5, 02:48:00.000000, 25719.00, 25720.00, 25718.25, 25718.25, 23, 21, 25718.88, 25718.83, 25719.13, 9, 14, 25684.55, 0.00
2025-12-5, 02:49:00.000000, 25719.75, 25723.00, 25719.75, 25722.00, 31, 31, 25721.13, 25721.58, 25721.38, 14, 17, 25684.60, 0.00
2025-12-5, 02:50:00.000000, 25721.75, 25722.75, 25719.75, 25721.25, 48, 48, 25721.38, 25721.25, 25721.25, 31, 17, 25684.66, 0.00
2025-12-5, 02:51:00.000000, 25722.00, 25724.00, 25722.00, 25723.00, 29, 26, 25722.75, 25723.00, 25723.00, 4, 25, 25684.70, 0.00
2025-12-5, 02:52:00.000000, 25723.50, 25727.00, 25723.50, 25726.75, 38, 37, 25725.19, 25725.75, 25725.25, 11, 27, 25684.76, 0.00
2025-12-5, 02:53:00.000000, 25726.75, 25727.25, 25725.50, 25726.00, 26, 22, 25726.38, 25726.25, 25726.38, 15, 11, 25684.80, 0.00
2025-12-5, 02:54:00.000000, 25726.25, 25727.00, 25725.00, 25726.00, 15, 15, 25726.06, 25726.00, 25726.00, 7, 8, 25684.82, 0.00
2025-12-5, 02:55:00.000000, 25725.75, 25728.00, 25724.50, 25728.00, 40, 38, 25726.56, 25726.83, 25726.25, 11, 29, 25684.88, 0.00
2025-12-5, 02:56:00.000000, 25728.25, 25728.75, 25724.75, 25726.50, 55, 52, 25727.06, 25726.67, 25726.75, 26, 29, 25684.96, 0.00
2025-12-5, 02:57:00.000000, 25726.25, 25726.50, 25723.75, 25724.25, 41, 38, 25725.19, 25724.83, 25725.13, 34, 7, 25685.02, 0.00
2025-12-5, 02:58:00.000000, 25723.75, 25726.75, 25723.25, 25725.50, 26, 22, 25724.81, 25725.17, 25725.00, 10, 16, 25685.06, 0.00
2025-12-5, 02:59:00.000000, 25725.50, 25725.75, 25722.75, 25725.00, 46, 36, 25724.75, 25724.50, 25724.25, 30, 16, 25685.13, 0.00
2025-12-5, 03:00:00.000000, 25725.50, 25727.75, 25723.25, 25724.75, 179, 176, 25725.31, 25725.25, 25725.50, 95, 84, 25685.38, 0.00
2025-12-5, 03:01:00.000000, 25725.75, 25726.75, 25721.50, 25726.25, 74, 73, 25725.06, 25724.83, 25724.13, 36, 38, 25685.48, 0.00
2025-12-5, 03:02:00.000000, 25726.00, 25745.25, 25724.25, 25744.00, 769, 634, 25734.88, 25737.83, 25734.75, 191, 578, 25686.85, 0.00
2025-12-5, 03:03:00.000000, 25743.75, 25744.75, 25736.50, 25739.75, 172, 164, 25741.19, 25740.33, 25740.63, 97, 75, 25687.16, 0.00
2025-12-5, 03:04:00.000000, 25739.00, 25739.25, 25732.25, 25735.00, 122, 107, 25736.38, 25735.50, 25735.75, 83, 39, 25687.36, 0.00
2025-12-5, 03:05:00.000000, 25734.25, 25737.75, 25734.00, 25735.00, 82, 82, 25735.25, 25735.58, 25735.88, 40, 42, 25687.50, 0.00
2025-12-5, 03:06:00.000000, 25735.25, 25737.75, 25728.00, 25735.75, 179, 166, 25734.19, 25733.83, 25732.88, 96, 83, 25687.78, 0.00
2025-12-5, 03:07:00.000000, 25735.50, 25736.25, 25730.50, 25730.50, 128, 87, 25733.19, 25732.42, 25733.38, 100, 28, 25687.97, 0.00
2025-12-5, 03:08:00.000000, 25731.25, 25733.25, 25730.00, 25730.25, 34, 32, 25731.19, 25731.17, 25731.63, 18, 16, 25688.03, 0.00
2025-12-5, 03:09:00.000000, 25731.50, 25735.00, 25729.75, 25735.00, 62, 62, 25732.81, 25733.25, 25732.38, 31, 31, 25688.12, 0.00
2025-12-5, 03:10:00.000000, 25736.00, 25739.25, 25734.50, 25736.50, 146, 127, 25736.56, 25736.75, 25736.88, 72, 74, 25688.36, 0.00
2025-12-5, 03:11:00.000000, 25736.00, 25736.75, 25732.25, 25732.25, 59, 55, 25734.31, 25733.75, 25734.50, 37, 22, 25688.45, 0.00
2025-12-5, 03:12:00.000000, 25733.00, 25735.25, 25731.75, 25734.50, 124, 106, 25733.63, 25733.83, 25733.50, 58, 66, 25688.64, 0.00
2025-12-5, 03:13:00.000000, 25735.25, 25737.75, 25734.00, 25735.50, 53, 53, 25735.63, 25735.75, 25735.88, 29, 24, 25688.72, 0.00
2025-12-5, 03:14:00.000000, 25735.25, 25737.25, 25733.75, 25735.25, 41, 41, 25735.38, 25735.42, 25735.50, 24, 17, 25688.79, 0.00
2025-12-5, 03:15:00.000000, 25734.00, 25737.75, 25729.75, 25737.25, 106, 99, 25734.69, 25734.92, 25733.75, 56, 50, 25688.94, 0.00
2025-12-5, 03:16:00.000000, 25736.75, 25740.50, 25734.75, 25739.00, 86, 86, 25737.75, 25738.08, 25737.63, 50, 36, 25689.08, 0.00
2025-12-5, 03:17:00.000000, 25739.00, 25739.50, 25737.00, 25738.50, 73, 73, 25738.50, 25738.33, 25738.25, 44, 29, 25689.20, 0.00
2025-12-5, 03:18:00.000000, 25739.00, 25739.50, 25737.00, 25737.00, 48, 48, 25738.13, 25737.83, 25738.25, 23, 25, 25689.28, 0.00
2025-12-5, 03:19:00.000000, 25737.00, 25743.25, 25737.00, 25742.75, 105, 105, 25740.00, 25741.00, 25740.13, 35, 70, 25689.46, 0.00
2025-12-5, 03:20:00.000000, 25743.25, 25747.00, 25742.25, 25745.00, 197, 193, 25744.38, 25744.75, 25744.63, 77, 120, 25689.81, 0.00
2025-12-5, 03:21:00.000000, 25745.75, 25755.75, 25744.75, 25747.50, 410, 359, 25748.44, 25749.33, 25750.25, 182, 228, 25690.61, 0.00
2025-12-5, 03:22:00.000000, 25747.00, 25750.75, 25746.00, 25748.00, 123, 111, 25747.94, 25748.25, 25748.38, 51, 72, 25690.84, 0.00
2025-12-5, 03:23:00.000000, 25749.25, 25753.25, 25748.50, 25749.00, 136, 105, 25750.00, 25750.25, 25750.88, 61, 75, 25691.10, 0.00
2025-12-5, 03:24:00.000000, 25749.00, 25751.00, 25748.00, 25750.00, 123, 82, 25749.50, 25749.67, 25749.50, 90, 33, 25691.33, 0.00
2025-12-5, 03:25:00.000000, 25750.75, 25751.75, 25744.25, 25750.25, 285, 255, 25749.25, 25748.75, 25748.00, 113, 172, 25691.84, 0.00
2025-12-5, 03:26:00.000000, 25749.75, 25752.00, 25747.25, 25748.00, 84, 78, 25749.25, 25749.08, 25749.63, 38, 46, 25691.99, 0.00
2025-12-5, 03:27:00.000000, 25748.00, 25750.25, 25738.25, 25738.25, 263, 255, 25743.69, 25742.25, 25744.25, 157, 106, 25692.42, 0.00
2025-12-5, 03:28:00.000000, 25738.00, 25743.25, 25730.50, 25741.25, 209, 206, 25738.25, 25738.33, 25736.88, 105, 104, 25692.71, 0.00
2025-12-5, 03:29:00.000000, 25741.50, 25742.00, 25736.25, 25737.25, 90, 84, 25739.25, 25738.50, 25739.13, 63, 27, 25692.84, 0.00
2025-12-5, 03:30:00.000000, 25737.50, 25738.75, 25734.75, 25734.75, 57, 57, 25736.44, 25736.08, 25736.75, 34, 23, 25692.92, 0.00
2025-12-5, 03:31:00.000000, 25735.25, 25742.00, 25735.00, 25738.00, 60, 54, 25737.56, 25738.33, 25738.50, 17, 43, 25693.00, 0.00
2025-12-5, 03:32:00.000000, 25739.00, 25741.25, 25738.75, 25741.25, 62, 59, 25740.06, 25740.42, 25740.00, 42, 20, 25693.09, 0.00
2025-12-5, 03:33:00.000000, 25741.75, 25742.00, 25738.50, 25740.50, 36, 36, 25740.69, 25740.33, 25740.25, 24, 12, 25693.14, 0.00
2025-12-5, 03:34:00.000000, 25740.00, 25748.25, 25740.00, 25742.75, 124, 123, 25742.75, 25743.67, 25744.13, 54, 70, 25693.34, 0.00
2025-12-5, 03:35:00.000000, 25742.25, 25744.00, 25741.25, 25742.75, 34, 34, 25742.56, 25742.67, 25742.63, 20, 14, 25693.39, 0.00
